list,type,name,location,description,url,subscribers,members,statuses
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,PaparazziArts com,Worldwide,"All Rights Reserved.  All content (tweets, etc) is Copyrighted (c) 2016,2017",https://t.co/Uh8P47AYk0,225,2598,35
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,BAWIP,"San Francisco, CA","Bay Area Women in Publishing hosts networking events for industry women on second Wednesdays in SF, East Bay, Silicon Valley. #WeNeedDiverseBooks #Leadership",https://t.co/MKsg8C4B22,244,636,334
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Ix,World,"Don't panic!
Tweets and RT are not based on my opinions but based on views that I find are important to know about",,641,5003,3712
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Writers Net Guide,#SuccessTRAIN,"•All About Writers •Resources•Nets Best Things for #Writing, Publishing, Book Marketing •#Publishers •#Editors• #IAmWriting #WritingTips #SuccessTRAIN Alliance",,27489,26990,29700
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Higher Ed Publishers,"Washington, DC","Higher Education Committee, Association of American Publishers. http://t.co/b5i0e0myWa",http://t.co/Ezy6nEdkBu,116,165,444
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Maggie Messitt,"In search of home... ","Fellow, @DenisonU Center for Narrative Journalism / Senior Advisor, @Report4America / Author of THE RAINY SEASON, longlisted @SundayTimesZA Alan Paton Award",,1626,1723,6553
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,ZestBooks,Minneapolis,"Smart and funny young adult books. Pop culture, school life, relationships, style, health, and how-to, plus true stories and memoirs.",https://t.co/eORxAMQOHb,1921,1968,6424
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Preston Glidden,"Renton, WA, USA","Thoughts from the trail and random musings, mostly about the environment.  President, Sustainable Renton",http://t.co/NWemEF1kxc,301,676,741
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,Sleepyslaps,Barcelona (Spain),"Sleepyslaps es una joven editorial que quiere abrirse camino con álbumes ilustrados proponiendo textos e imágenes de alta calidad, para niños y no tan niños :-)",http://t.co/Ye8U0ZMJmq,123,134,9
https://twitter.com/americanpublish/lists/book-journal-publishers,subscriber,WellesleyInfoSvcs,"Dedham, MA",Wellesley Information Services (WIS) - Publisher of educational and training resources and events supporting business and IT professionals worldwide.,http://t.co/lZiX3dMiAE,2535,2949,6
